Sample,Count
ADIRP0001066_TCRB.tsv,322994
ADIRP0002514_TCRB.tsv,537284
ADIRP0002279_TCRB.tsv,330905
ADIRP0000066_TCRB.tsv,355046
ADIRP0001268_TCRB.tsv,364901
860011260_TCRB.tsv,680242
ADIRP0000120_TCRB.tsv,893339
ADIRP0000356_TCRB.tsv,691867
ADIRP0001152_TCRB.tsv,480436
ADIRP0000357_TCRB.tsv,788601
860011259_TCRB.tsv,352218
860011257_TCRB.tsv,307347
ADIRP0000045_TCRB.tsv,443729
ADIRP0000422_TCRB.tsv,511660
ADIRP0002519_TCRB.tsv,518054
ADIRP0001388_TCRB.tsv,677915
860011262_TCRB.tsv,376844
ADIRP0000252_TCRB.tsv,553176
ADIRP0000289_TCRB.tsv,812170
ADIRP0000511_TCRB.tsv,452017
ADIRP0000439_TCRB.tsv,386668
860011253_TCRB.tsv,571244
860011258_TCRB.tsv,535271
860011261_TCRB.tsv,463649
ADIRP0000141_TCRB.tsv,599814
ADRIP0000160_TCRB.tsv,577786
ADIRP0001903_TCRB.tsv,371834
ADIRP0001349_TCRB.tsv,618266
ADIRP0000023_TCRB.tsv,553497
ADIRP0002082_TCRB.tsv,442986
860011251_TCRB.tsv,417783
ADIRP0000423_TCRB.tsv,514979
ADIRP0000036_TCRB.tsv,609911
ADIRP0001786_TCRB.tsv,392626
ADIRP0000067_TCRB.tsv,391267
ADIRP0000137_TCRB.tsv,33534
ADIRP0002417_TCRB.tsv,227013
ADIRP0001278_TCRB.tsv,568141
ADIRP0002520_TCRB.tsv,490661
ADIRP0000923_TCRB.tsv,476437
ADIRP0002156_TCRB.tsv,574535
ADIRP0002497_TCRB.tsv,638816
ADIRP0002300_TCRB.tsv,233411
860011252_TCRB.tsv,496786
ADIR0000086_TCRB.tsv,489661
ADIRP0001311_TCRB.tsv,421891
ADIRP0000710_TCRB.tsv,336038
ADIRP0001929_TCRB.tsv,423107
ADIRP0001427_TCRB.tsv,443374
ADIRP0001895_TCRB.tsv,358780
ADIRP0000347_TCRB.tsv,604674
860011255_TCRB.tsv,642861
ADIRP0001234_TCRB.tsv,435461
ADIRP0000190_TCRB.tsv,353996
ADIRP0002301_TCRB.tsv,566510
ADIR0000093_TCRB.tsv,269841
ADIRP0000129_TCRB.tsv,516302
ADIRP0001865_TCRB.tsv,757299
ADIRP0002184_TCRB.tsv,697877
ADIRP0002436_TCRB.tsv,367131
ADIRP0000052_TCRB.tsv,464863
ADIRP0001463_TCRB.tsv,884248
ADIRP0000752_TCRB.tsv,417141
ADIRP0001110_TCRB.tsv,467756
ADIRP0000174_TCRB.tsv,329843
ADIRP0000709_TCRB.tsv,449185
ADIRP0002291_TCRB.tsv,419210
ADIRP0001328_TCRB.tsv,304391
ADIRP0000106_TCRB.tsv,540651
860011249_TCRB.tsv,332057
860011263_TCRB.tsv,343081
ADIRP0002474_TCRB.tsv,353989
860011250_TCRB.tsv,444202
ADIR0000014_TCRB.tsv,364600
ADIRP0000539_TCRB.tsv,531096
ADIRP0001145_TCRB.tsv,580583
ADIRP0002065_TCRB.tsv,452451
860011254_TCRB.tsv,387789
ADIRP0001185_TCRB.tsv,505155
ADIRP0001657_TCRB.tsv,389256
ADIRP0001674_TCRB.tsv,361540
ADIRP0002464_TCRB.tsv,114331
ADIRP0002581_TCRB.tsv,362080
ADIRP0002010_TCRB.tsv,441837
ADIRP0002562_TCRB.tsv,251226
ADIRP0000117_TCRB.tsv,632457
ADIRP0001063_TCRB.tsv,387631
ADIRP0000555_TCRB.tsv,371735
ADIRP0000975_TCRB.tsv,346616
ADIRP0001958_TCRB.tsv,248926
ADIRP0000057_TCRB.tsv,765691
ADIRP0001207_TCRB.tsv,270945
ADIRP0001296_TCRB.tsv,120856
ADIRP0001353_TCRB.tsv,313191
ADIRP0001070_TCRB.tsv,454737
ADIRP0001163_TCRB.tsv,499277
ADIRP0002427_TCRB.tsv,92800
ADIRP0000362_TCRB.tsv,657476
ADRIP00000961_TCRB.tsv,251017
ADIRP0001869_TCRB.tsv,399349
ADIRP0002343_TCRB.tsv,267489
ADIRP0000895_TCRB.tsv,81585
ADIRP0001510_TCRB.tsv,253041
ADIRP0001950_TCRB.tsv,355607
ADIRP0001202_TCRB.tsv,440716
ADIRP0000355_TCRB.tsv,188159
ADIRP0000730_TCRB.tsv,401754
ADIRP0001104_TCRB.tsv,150334
ADIRP0001717_TCRB.tsv,468471
ADIRP0000292_TCRB.tsv,281966
ADIRP0000837_TCRB.tsv,257135
ADIRP0000499_TCRB.tsv,322248
ADIRP0002340_TCRB.tsv,460966
ADIRP0001726_TCRB.tsv,494801
ADIRP0001215_TCRB.tsv,316317
ADIRP0000251_TCRB.tsv,238989
ADIRP0002512_TCRB.tsv,330786
860011264_TCRB.tsv,419841
ADIRP0000868_TCRB.tsv,303313
ADIRP0000247_TCRB.tsv,481387
ADIRP0000342_TCRB.tsv,290755
ADIRP0000623_TCRB.tsv,717986
ADIRP0001217_TCRB.tsv,288659
860011222_TCRB.tsv,368646
ADIRP0001079_TCRB.tsv,518034
ADIRP0000387_TCRB.tsv,574373
ADIRP0002498_TCRB.tsv,902268
ADIRP0001121_TCRB.tsv,301394
ADIRP0001922_TCRB.tsv,405176
ADIRP0001555_TCRB.tsv,417259
ADIRP0002425_TCRB.tsv,313368
860011256_TCRB.tsv,308248
ADIRP0001479_TCRB.tsv,594247
ADIRP0001764_TCRB.tsv,367134
ADIRP0000570_TCRB.tsv,260574
ADIRP0000341_TCRB.tsv,318552
860011277_TCRB.tsv,26472
860011340_TCRB.tsv,492670
BS-EQ-32-T1-replacement_TCRB.tsv,169524
ADIRP0000618_TCRB.tsv,764147
ADIRP0000376_TCRB.tsv,720161
BS-EQ-0006-T1-replacement_TCRB.tsv,11651
BS-EQ-0006-T2-replacement_TCRB.tsv,6251
860011216_TCRB.tsv,19600
860011211_TCRB.tsv,496686
860011287_TCRB.tsv,33299
860011284_TCRB.tsv,429443
BS-EQ-12-T1-replacement_TCRB.tsv,15479
BS-EQ-12-T2-replacement_TCRB.tsv,45540
860011110_TCRB.tsv,56481
860011209_TCRB.tsv,348074
ADIRP0000392_TCRB.tsv,399438
BS-GIGI_40-replacement_TCRB.tsv,106121
BS-EQ-34-T1-replacement_TCRB.tsv,127557
BS-EQ-36-T1-replacement_TCRB.tsv,148022
ADIRP0002034_TCRB.tsv,316503
BS-EQ-0026-T0-replacement_TCRB.tsv,75326
BS-EQ-33-T2-replacement_TCRB.tsv,151340
BS-EQ-26-T1-replacement_TCRB.tsv,179670
BS-EQ-30-T1-replacement_TCRB.tsv,258024
BS-EQ-17-T1b-replacement_TCRB.tsv,89394
BS-EQ-30-T2-replacement_TCRB.tsv,196087
BS-EQ-15-T1-replacement_TCRB.tsv,127501
BS-EQ-0001-T1-replacement_TCRB.tsv,35038
BS-EQ-43-T1_BS-GIGI-137-replacement_TCRB.tsv,78719
BS-EQ-0014-T1-replacement_TCRB.tsv,192608
BS-EQ-0002-T1-replacement_TCRB.tsv,20136
BS-EQ-0014-T2-replacement_TCRB.tsv,234008
BS-EQ-0002-T2-replacement_TCRB.tsv,25408
BS-GIGI_14-replacement_TCRB.tsv,128412
BS-EQ-14-T3-replacement_TCRB.tsv,121785
860011382_TCRB.tsv,152482
BS-EQ-31-T0-replacement_TCRB.tsv,37677
860011353_TCRB.tsv,316623
860011106_TCRB.tsv,547639
860011499_TCRB.tsv,270814
BS-EQ-10-T1-replacement_TCRB.tsv,25285
BS-EQ-10-T2-replacement_TCRB.tsv,105588
BS-GIGI_78-replacement_TCRB.tsv,72864
BS-EQ-18-T1-replacement_TCRB.tsv,24641
860011130_TCRB.tsv,521861
BS-EQ-38-T1_BS-GIGI-117-replacement_TCRB.tsv,123556
860011279_TCRB.tsv,164824
BS-EQ-38-T2-replacement_TCRB.tsv,140282
BS-EQ-18-T2-replacement_TCRB.tsv,119981
860011377_TCRB.tsv,109472
BS-EQ-09-T1-replacement_TCRB.tsv,12889
BS-EQ-0009-T2-replacement_TCRB.tsv,11908
BS-GIGI_64-replacement_TCRB.tsv,48717
BS-EQ-07-T1-replacement_TCRB.tsv,50984
BS-EQ-07-T2-replacement_TCRB.tsv,86838
860011318_TCRB.tsv,66863
BS-GIGI_46-replacement_TCRB.tsv,30604
860011108_TCRB.tsv,71716
860011286_TCRB.tsv,260222
BS-GIGI_92-replacement_TCRB.tsv,109825
BS-GIGI_27-replacement_TCRB.tsv,138755
BS-GIGI_31-replacement_TCRB.tsv,36601
BS-GIGI_33-replacement_TCRB.tsv,89189
BS-EQ-0016-T1-replacement_TCRB.tsv,63579
BS-EQ-16-T2-replacement_TCRB.tsv,116725
860011489_TCRB.tsv,63847
BS-GIGI_13-replacement_TCRB.tsv,57889
860011126_TCRB.tsv,98355
860011350_TCRB.tsv,301015
BS-GIGI_68-replacement_TCRB.tsv,19017
